City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ranong,TH,9.9658,98.6348,75.13,86,100,9.01,overcast clouds
1,Mar Del Plata,AR,-38.0023,-57.5575,48.09,60,0,0.0,clear sky
2,Celestun,MX,20.8667,-90.4,81.81,80,45,13.58,light rain
3,Fortuna,US,40.5982,-124.1573,63.09,82,100,3.0,overcast clouds
4,Hilo,US,19.7297,-155.09,86.29,81,100,6.91,overcast clouds
5,Albany,US,42.6001,-73.9662,81.68,51,40,4.83,scattered clouds
6,Dikson,RU,73.5069,80.5464,33.04,99,100,4.32,overcast clouds
7,Port-Cartier,CA,50.0334,-66.8654,67.68,66,33,8.14,scattered clouds
8,Dargaville,NZ,-35.9333,173.8833,60.66,78,45,11.65,light rain
9,Codrington,AU,-38.2667,141.9667,50.83,71,100,10.56,overcast clouds
10,Agua Verde,MX,22.9,-106.05,84.29,68,24,13.13,few clouds
11,Cherskiy,RU,68.75,161.3,58.44,44,45,10.09,scattered clouds
12,Rikitea,PF,-23.1203,-134.9692,69.44,81,100,15.08,moderate rain
13,Praia,CV,14.9215,-23.5087,73.94,83,20,14.97,few clouds
14,Busselton,AU,-33.65,115.3333,48.2,83,0,5.37,clear sky
15,Port Lincoln,AU,-34.7333,135.8667,56.21,72,92,10.38,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,29.86,74,0,5.75,clear sky
17,Asau,RO,46.4333,26.4,61.72,75,55,3.67,broken clouds
18,Pakxan,LA,18.3778,103.6601,76.96,93,100,1.43,overcast clouds
19,Sioux Lookout,CA,50.1001,-91.917,60.87,63,75,23.02,broken clouds
20,Vaini,TO,-21.2,-175.2,77.16,88,75,6.91,broken clouds
21,Mataura,NZ,-46.1927,168.8643,44.47,90,95,9.46,light rain
22,Barrow,US,71.2906,-156.7887,53.62,66,0,11.5,clear sky
23,Santa Comba,ES,43.0331,-8.8093,55.67,98,20,1.81,few clouds
24,Iranshahr,IR,27.2025,60.6848,88.88,41,16,0.96,few clouds
25,Batagay-Alyta,RU,67.8006,130.4114,60.37,51,97,7.65,light rain
26,Port Alfred,ZA,-33.5906,26.891,62.53,42,0,9.24,clear sky
27,Punta Arenas,CL,-53.15,-70.9167,30.31,93,0,4.61,clear sky
28,Tasiilaq,GL,65.6145,-37.6368,42.96,87,92,0.34,overcast clouds
29,Karaman,TR,37.0833,33.25,63.41,59,10,5.68,clear sky
30,Saint-Philippe,RE,-21.3585,55.7679,67.59,72,58,8.52,broken clouds
31,New Norfolk,AU,-42.7826,147.0587,43.72,82,11,3.0,few clouds
32,Faanui,PF,-16.4833,-151.75,79.14,73,22,21.72,light rain
33,Sinnamary,GF,5.3833,-52.95,76.77,87,50,6.42,scattered clouds
34,Kahului,US,20.8947,-156.47,86.02,70,40,27.63,scattered clouds
35,Mount Gambier,AU,-37.8333,140.7667,49.23,71,100,6.35,overcast clouds
36,Dicabisagan,PH,17.0818,122.4157,85.1,72,100,10.22,overcast clouds
37,East London,ZA,-33.0153,27.9116,61.11,37,0,6.93,clear sky
38,Qaanaaq,GL,77.484,-69.3632,39.7,73,100,3.87,overcast clouds
39,Berlevag,NO,70.8578,29.0864,49.8,85,100,10.38,overcast clouds
40,Kikwit,CD,-5.041,18.8162,72.61,42,26,2.68,scattered clouds
41,Katherine,AU,-14.4667,132.2667,61.12,94,100,9.22,light rain
42,Deputatskiy,RU,69.3,139.9,48.13,72,100,3.29,overcast clouds
43,Ilulissat,GL,69.2167,-51.1,44.62,81,20,8.05,few clouds
44,Shahrud,IR,36.4182,54.9763,72.79,46,0,7.43,clear sky
45,Cairns,AU,-16.9167,145.7667,78.06,97,100,9.22,overcast clouds
46,Ribeira Grande,PT,38.5167,-28.7,68.52,92,97,8.46,overcast clouds
47,Jamestown,US,42.097,-79.2353,80.24,44,20,9.22,few clouds
48,Hammerfest,NO,70.6634,23.6821,46.85,100,75,5.75,broken clouds
49,Bluff,NZ,-46.6,168.3333,44.8,83,100,30.36,moderate rain
50,Palmer,US,42.1584,-72.3287,82.0,53,40,4.61,scattered clouds
51,Broome,US,42.2506,-75.833,83.86,55,0,5.75,clear sky
52,Coihaique,CL,-45.5752,-72.0662,34.41,100,75,0.0,fog
53,Fonte Boa,BR,-2.4959,-66.2662,78.28,77,69,2.01,broken clouds
54,Hobart,AU,-42.8794,147.3294,44.06,85,20,12.66,few clouds
55,Santa Cruz Das Palmeiras,BR,-21.8269,-47.2486,58.33,63,0,2.3,clear sky
56,Pisco,PE,-13.7,-76.2167,62.65,77,40,9.22,scattered clouds
57,Tiksi,RU,71.6872,128.8694,40.5,68,39,5.3,scattered clouds
58,Jaslo,PL,49.7451,21.4725,67.66,75,8,3.94,clear sky
59,Hermanus,ZA,-34.4187,19.2345,60.57,53,0,9.73,clear sky
60,Corum,TR,40.5,34.75,55.89,92,4,2.89,clear sky
61,Egvekinot,RU,66.3167,-179.1667,44.08,85,100,3.71,overcast clouds
62,Vaasa,FI,63.096,21.6158,64.42,94,0,2.3,clear sky
63,Karratha,AU,-20.7377,116.8463,61.07,38,3,21.56,clear sky
64,Kharp,RU,66.8014,65.8081,51.84,73,92,5.95,overcast clouds
65,Puerto Ayora,EC,-0.7393,-90.3518,70.56,81,56,7.0,broken clouds
66,Labrea,BR,-7.2586,-64.7981,75.76,61,10,1.21,clear sky
67,Cabo San Lucas,MX,22.8909,-109.9124,94.6,66,0,14.97,clear sky
68,Coolum Beach,AU,-26.5333,153.1,62.33,99,100,5.17,moderate rain
69,Upernavik,GL,72.7868,-56.1549,38.48,93,89,1.7,overcast clouds
70,Hasaki,JP,35.7333,140.8333,86.29,73,0,2.04,clear sky
71,Chokurdakh,RU,70.6333,147.9167,56.17,37,21,5.97,few clouds
72,Esperance,AU,-33.8667,121.9,48.69,82,0,7.63,clear sky
73,Lagoa,PT,39.05,-27.9833,66.43,94,89,11.23,overcast clouds
74,Korla,CN,41.7597,86.1469,85.19,24,44,5.95,scattered clouds
75,Rio Gallegos,AR,-51.6226,-69.2181,26.65,93,0,8.05,clear sky
76,Leningradskiy,RU,69.3833,178.4167,43.27,79,48,6.82,scattered clouds
77,Hit,IQ,33.6416,42.8251,90.66,20,0,12.24,clear sky
78,Arraial Do Cabo,BR,-22.9661,-42.0278,64.36,82,20,5.75,few clouds
79,Butaritari,KI,3.0707,172.7902,82.38,77,70,14.94,light rain
80,Meulaboh,ID,4.1363,96.1285,74.61,79,100,5.68,overcast clouds
81,Wakkanai,JP,45.4094,141.6739,61.81,83,94,4.09,overcast clouds
82,Hithadhoo,MV,-0.6,73.0833,81.23,76,100,6.96,light rain
83,Quchan,IR,37.106,58.5095,71.11,48,0,3.18,clear sky
84,Sawtell,AU,-30.3833,153.1,59.18,77,100,0.0,overcast clouds
