City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atuona,-9.8,-139.0333,77.81,72,32,19.3,PF,2022-06-28 23:02:36
1,Rovaniemi,66.5,25.7167,65.61,55,0,8.05,FI,2022-06-28 23:01:53
2,Hobart,-42.8794,147.3294,50.25,81,75,9.22,AU,2022-06-28 23:05:22
3,Kuandian,40.7286,124.7847,69.22,98,100,1.79,CN,2022-06-28 23:05:22
4,Bembereke,10.2283,2.6634,74.61,84,7,5.97,BJ,2022-06-28 23:05:23
5,Pendleton,45.6721,-118.7886,86.79,24,4,4.0,US,2022-06-28 23:01:38
6,Albany,42.6001,-73.9662,76.46,49,19,4.21,US,2022-06-28 23:05:24
7,Nikolskoye,59.7035,30.7861,66.09,66,2,5.06,RU,2022-06-28 23:05:24
8,Vardo,70.3705,31.1107,71.58,60,37,17.27,NO,2022-06-28 23:05:25
9,Port Elizabeth,-33.918,25.5701,56.32,60,0,3.0,ZA,2022-06-28 23:01:05
10,Ushuaia,-54.8,-68.3,32.63,99,83,2.3,AR,2022-06-28 23:01:51
11,Busselton,-33.65,115.3333,46.67,85,0,9.28,AU,2022-06-28 23:00:29
12,Ribeira Grande,38.5167,-28.7,67.41,91,94,6.89,PT,2022-06-28 23:05:26
13,Flinders,-34.5833,150.8552,55.38,77,85,6.51,AU,2022-06-28 23:05:26
14,Thompson,55.7435,-97.8558,64.45,36,97,9.13,CA,2022-06-28 23:04:53
15,Saskylakh,71.9167,114.0833,53.96,43,3,11.83,RU,2022-06-28 23:05:27
16,Ca Mau,9.1769,105.15,78.76,90,100,4.41,VN,2022-06-28 23:05:27
17,Bluff,-46.6,168.3333,47.8,80,91,17.94,NZ,2022-06-28 23:05:28
18,Severo-Kurilsk,50.6789,156.125,45.91,94,100,14.18,RU,2022-06-28 23:05:28
19,Norman Wells,65.282,-126.8329,81.39,27,100,9.46,CA,2022-06-28 23:05:29
20,Hermanus,-34.4187,19.2345,62.15,49,10,9.71,ZA,2022-06-28 23:05:29
21,Butaritari,3.0707,172.7902,82.38,78,100,16.55,KI,2022-06-28 23:05:30
22,Vaini,-21.2,-175.2,77.16,94,75,4.61,TO,2022-06-28 23:05:30
23,Lagoa,39.05,-27.9833,66.06,94,100,9.82,PT,2022-06-28 23:03:10
24,Pevek,69.7008,170.3133,37.87,99,100,4.61,RU,2022-06-28 23:05:31
25,Vaitape,-16.5167,-151.75,79.81,75,16,19.95,PF,2022-06-28 23:05:32
26,Tasiilaq,65.6145,-37.6368,42.96,63,79,6.11,GL,2022-06-28 23:05:32
27,Avarua,-21.2078,-159.775,84.25,61,7,3.44,CK,2022-06-28 23:05:33
28,Chokurdakh,70.6333,147.9167,47.75,47,25,12.71,RU,2022-06-28 23:01:14
29,Ust-Barguzin,53.45,108.9833,55.2,76,40,0.85,RU,2022-06-28 23:05:33
30,Nanortalik,60.1432,-45.2371,45.54,72,100,18.81,GL,2022-06-28 23:03:52
31,Babstovo,48.1167,132.4833,71.47,76,0,2.44,RU,2022-06-28 23:05:34
32,Peterhead,57.5058,-1.7981,56.44,93,100,18.19,GB,2022-06-28 23:05:34
33,New Norfolk,-42.7826,147.0587,49.91,78,100,1.01,AU,2022-06-28 23:05:35
34,Mogilno,52.6581,17.9558,62.02,85,99,7.81,PL,2022-06-28 23:05:35
35,Rikitea,-23.1203,-134.9692,72.0,77,60,25.23,PF,2022-06-28 23:05:36
36,Mildura,-34.2,142.15,43.07,88,100,8.01,AU,2022-06-28 23:05:36
37,Batesville,35.7698,-91.641,85.08,35,0,8.05,US,2022-06-28 23:04:58
38,Erenhot,43.6475,111.9767,67.95,64,97,3.67,CN,2022-06-28 23:05:22
39,Eyl,7.9803,49.8164,78.1,68,67,29.68,SO,2022-06-28 23:05:37
40,Alta Floresta,-9.8756,-56.0861,75.4,46,4,2.21,BR,2022-06-28 23:05:38
41,Nabire,-3.3667,135.4833,77.9,87,81,1.83,ID,2022-06-28 23:05:38
42,Birjand,32.8663,59.2211,79.12,16,0,16.49,IR,2022-06-28 23:05:39
43,Mataura,-46.1927,168.8643,47.48,81,98,6.35,NZ,2022-06-28 23:05:39
44,Lucapa,-8.4192,20.7447,61.79,41,16,4.83,AO,2022-06-28 23:05:39
45,Cape Town,-33.9258,18.4232,62.38,52,0,1.99,ZA,2022-06-28 23:03:05
46,Staroaleyskoye,51.0061,82.0,55.53,65,0,10.45,RU,2022-06-28 23:05:40
47,Rudnogorsk,57.2639,103.7519,60.55,77,100,3.0,RU,2022-06-28 23:05:40
48,Altea,38.5989,-0.0514,79.63,80,0,1.99,ES,2022-06-28 23:05:41
49,Jamestown,42.097,-79.2353,69.03,54,0,1.99,US,2022-06-28 23:01:05
50,Iqaluit,63.7506,-68.5145,50.7,50,100,11.01,CA,2022-06-28 23:05:41
51,Khatanga,71.9667,102.5,54.03,45,9,11.97,RU,2022-06-28 23:05:42
52,Arraial Do Cabo,-22.9661,-42.0278,68.94,78,14,25.28,BR,2022-06-28 23:05:42
53,Itarema,-2.9248,-39.9167,77.54,78,21,11.43,BR,2022-06-28 23:05:43
54,Coos Bay,43.3665,-124.2179,72.32,86,40,8.05,US,2022-06-28 23:05:43
55,Segezha,63.7415,34.3222,46.67,79,0,6.04,RU,2022-06-28 23:05:44
56,Talaya,61.3833,152.75,74.91,41,5,14.14,RU,2022-06-28 23:05:44
57,Ondjiva,-17.0667,15.7333,57.49,46,14,11.9,AO,2022-06-28 23:05:45
58,Chuy,-33.6971,-53.4616,49.89,88,100,5.26,UY,2022-06-28 23:02:34
59,Upernavik,72.7868,-56.1549,38.77,79,14,9.22,GL,2022-06-28 23:05:15
60,Kodiak,57.79,-152.4072,69.31,52,0,5.75,US,2022-06-28 23:05:46
61,Lompoc,34.6391,-120.4579,97.79,59,0,17.27,US,2022-06-28 23:05:46
62,Amberieu-En-Bugey,45.9589,5.3432,71.06,90,100,3.2,FR,2022-06-28 23:05:47
63,Castro,-24.7911,-50.0119,55.29,91,0,4.18,BR,2022-06-28 23:05:47
64,Kargasok,59.0556,80.8572,52.88,86,100,6.82,RU,2022-06-28 23:05:48
65,Fukue,32.6881,128.8419,77.97,88,100,20.0,JP,2022-06-28 23:05:48
66,Puerto Ayora,-0.7393,-90.3518,70.56,90,23,8.01,EC,2022-06-28 23:02:41
67,Hilo,19.7297,-155.09,83.28,71,100,8.01,US,2022-06-28 23:05:49
68,Hofn,64.2539,-15.2082,50.92,87,100,11.79,IS,2022-06-28 23:05:49
69,Vila Velha,-20.3297,-40.2925,67.95,82,0,4.61,BR,2022-06-28 23:05:49
70,Victoria,22.2855,114.1577,85.32,86,99,3.0,HK,2022-06-28 23:02:31
71,Yellowknife,62.456,-114.3525,64.51,49,94,17.49,CA,2022-06-28 23:05:50
72,Lazaro Cardenas,17.9583,-102.2,84.13,66,100,6.02,MX,2022-06-28 23:05:50
73,Goderich,43.7501,-81.7165,74.91,68,1,13.35,CA,2022-06-28 23:05:17
74,Ancud,-41.8697,-73.8203,53.22,94,100,18.01,CL,2022-06-28 23:04:28
75,Kaitangata,-46.2817,169.8464,42.62,72,100,7.94,NZ,2022-06-28 23:05:52
76,Port Lincoln,-34.7333,135.8667,54.93,75,68,9.66,AU,2022-06-28 23:05:52
77,Georgetown,5.4112,100.3354,81.9,86,20,0.0,MY,2022-06-28 23:05:53
78,Kerchevskiy,59.946,56.2884,42.08,87,94,9.04,RU,2022-06-28 23:05:53
79,Cidreira,-30.1811,-50.2056,62.73,91,100,5.95,BR,2022-06-28 23:02:35
80,Tuktoyaktuk,69.4541,-133.0374,55.04,55,73,11.32,CA,2022-06-28 23:03:27
81,Klaksvik,62.2266,-6.589,52.72,98,100,23.02,FO,2022-06-28 23:02:46
